,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,1.0,,,431.7334258556366,46160.90052318573,,,,,,,,,,,,,,,,,,,,,,381.0,99.0,99.0,37719.0,78.0
1,,,,,,"(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:60)len=8:b""\x07\xc5\xe2y\xa1'\xdf\xbf\x8e\x9f\x19\x06$\x08\xe0\xbf\xbf5E\xba~e\xe0\xbf\xb8= T\xd2\x98\xe0\xbf@\x89\xae\x8fw\xbc\xe0\xbf\xc6\xa6S&N\xf1\xe0\xbf\xc5\xc1k\xb8DE\xe1\xbf\xb7w\xf4\\2\xb0\xe1\xbf""",8.0,21.730592489242554,1.139028787612915,1.1092898845672607,1.1327190399169922,14.659879446029663,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:60)len=8,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:60)len=8,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:60)len=8,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:60)len=8,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:60)len=8,,,,,
3,,,,,,"[0.20015819 0.19781358 0.19367837 0.1911085  0.19135086 0.1931058
 0.19418292 0.19357619]:b""4\x18\x1e\x9a\xc8\x9e\xc9?\xe0'\x90\x90\xf4Q\xc9?\xdaa\x96\xf5s\xca\xc8?-\xbc\xc0M>v\xc8?A\xbe\xa7X/~\xc8?r+\xf7\xdb\xb0\xb7\xc8? \x9d\xbal\xfc\xda\xc8?\x07>\n\xc8\x1a\xc7\xc8?""",8.0,23.859200716018677,1.1080231666564941,1.123204231262207,1.123734712600708,8.409923315048218,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0005138067007093646,(b92da22b-21df-406f-aa0b-3c3336d8393a)_(3): (56:63)len=8,0.0005138067007093646,(b92da22b-21df-406f-aa0b-3c3336d8393a)_(3): (56:63)len=8,0.0005138067007093646,(b92da22b-21df-406f-aa0b-3c3336d8393a)_(3): (56:63)len=8,0.0005138067007093646,(b92da22b-21df-406f-aa0b-3c3336d8393a)_(3): (56:63)len=8,0.0005138067007093646,(b92da22b-21df-406f-aa0b-3c3336d8393a)_(3): (56:63)len=8,,,,,
5,,,,,,"(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3:b""\x07\xc5\xe2y\xa1'\xdf\xbf\x8e\x9f\x19\x06$\x08\xe0\xbf\xbf5E\xba~e\xe0\xbf""",3.0,21.471551656723022,1.0565547943115234,1.0680551528930664,1.0627331733703613,7.610958099365234,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,,,,,
7,,,,,,"[0.20015819 0.19781358 0.19367837]:b""4\x18\x1e\x9a\xc8\x9e\xc9?\xe0'\x90\x90\xf4Q\xc9?\xdaa\x96\xf5s\xca\xc8?""",3.0,21.51575016975403,1.0579078197479248,1.0756402015686035,1.0528082847595215,7.6994781494140625,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,,,,,
9,,,,,,"(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3:b""\x07\xc5\xe2y\xa1'\xdf\xbf\x8e\x9f\x19\x06$\x08\xe0\xbf\xbf5E\xba~e\xe0\xbf""",3.0,21.471551656723022,1.0565547943115234,1.0680551528930664,1.0627331733703613,7.610958099365234,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,,,,,
11,,,,,,"[0.20015819 0.19781358 0.19367837]:b""4\x18\x1e\x9a\xc8\x9e\xc9?\xe0'\x90\x90\xf4Q\xc9?\xdaa\x96\xf5s\xca\xc8?""",3.0,21.51575016975403,1.0579078197479248,1.0756402015686035,1.0528082847595215,7.6994781494140625,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,,,,,
13,,,,,,"(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3:b""\x07\xc5\xe2y\xa1'\xdf\xbf\x8e\x9f\x19\x06$\x08\xe0\xbf\xbf5E\xba~e\xe0\xbf""",3.0,21.471551656723022,1.0565547943115234,1.0680551528930664,1.0627331733703613,7.610958099365234,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,,,,,
15,,,,,,"[0.20015819 0.19781358 0.19367837]:b""4\x18\x1e\x9a\xc8\x9e\xc9?\xe0'\x90\x90\xf4Q\xc9?\xdaa\x96\xf5s\xca\xc8?""",3.0,21.51575016975403,1.0579078197479248,1.0756402015686035,1.0528082847595215,7.6994781494140625,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,,,,,
17,,,,,,"(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3:b""\x07\xc5\xe2y\xa1'\xdf\xbf\x8e\x9f\x19\x06$\x08\xe0\xbf\xbf5E\xba~e\xe0\xbf""",3.0,21.471551656723022,1.0565547943115234,1.0680551528930664,1.0627331733703613,7.610958099365234,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,,,,,
19,,,,,,"[0.20015819 0.19781358 0.19367837]:b""4\x18\x1e\x9a\xc8\x9e\xc9?\xe0'\x90\x90\xf4Q\xc9?\xdaa\x96\xf5s\xca\xc8?""",3.0,21.51575016975403,1.0579078197479248,1.0756402015686035,1.0528082847595215,7.6994781494140625,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,,,,,
21,,,,,,"(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3:b""\x07\xc5\xe2y\xa1'\xdf\xbf\x8e\x9f\x19\x06$\x08\xe0\xbf\xbf5E\xba~e\xe0\xbf""",3.0,21.471551656723022,1.0565547943115234,1.0680551528930664,1.0627331733703613,7.610958099365234,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,,,,,
23,,,,,,"[0.20015819 0.19781358 0.19367837]:b""4\x18\x1e\x9a\xc8\x9e\xc9?\xe0'\x90\x90\xf4Q\xc9?\xdaa\x96\xf5s\xca\xc8?""",3.0,21.51575016975403,1.0579078197479248,1.0756402015686035,1.0528082847595215,7.6994781494140625,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,0.0001807612356159243,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(1): (94:96)len=3,,,,,
25,,,,,,"(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3:b""\x07\xc5\xe2y\xa1'\xdf\xbf\x8e\x9f\x19\x06$\x08\xe0\xbf\xbf5E\xba~e\xe0\xbf""",3.0,21.471551656723022,1.0565547943115234,1.0680551528930664,1.0627331733703613,7.610958099365234,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:55)len=3,,,,,
27,,,,,,"[0.20015819 0.19781358 0.19367837]:b""4\x18\x1e\x9a\xc8\x9e\xc9?\xe0'\x90\x90\xf4Q\xc9?\xdaa\x96\xf5s\xca\xc8?""",3.0,21.51575016975403,1.0579078197479248,1.0756402015686035,1.0528082847595215,7.6994781494140625,,,,,,,,,,,,,,,,,,,
